model,model_label,feature_set,validation_season,train_matches,validation_matches,validation_leagues,base_feature_count,model_column_count,log_loss,brier_score,accuracy,selected_groups
player_form_logistic,Pooled player-form logistic,legacy_player_form,2022-23,2743,1335,5,7,11,0.9807501580279391,0.5815309049626007,0.5441834955761554,legacy_player_form
player_form_logistic,Pooled player-form logistic,legacy_player_form,2023-24,4078,1233,5,7,11,0.9798364635465446,0.5810878349548724,0.5272451217965297,legacy_player_form
player_form_logistic,Pooled player-form logistic,legacy_player_form,2024-25,5311,1327,5,7,11,1.0075933263504286,0.598482969719471,0.5056789078479367,legacy_player_form
player_form_logistic,Pooled player-form logistic,team_strength,2022-23,2743,1335,5,8,12,0.9480544964231958,0.5551768158788105,0.5593869060663756,team_strength
player_form_logistic,Pooled player-form logistic,team_strength,2023-24,4078,1233,5,8,12,0.9401803085422029,0.5514632742623146,0.5685322165758727,team_strength
player_form_logistic,Pooled player-form logistic,team_strength,2024-25,5311,1327,5,8,12,0.9838083503103239,0.5826742473047452,0.5266480049071876,team_strength
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form,2022-23,2743,1335,5,24,28,1.0469063960267229,0.6302678152158416,0.46592297067092936,opponent_adjusted_form
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form,2023-24,4078,1233,5,24,28,1.0316088745853313,0.6186244523441996,0.48273131732795527,opponent_adjusted_form
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form,2024-25,5311,1327,5,24,28,1.0508375450030285,0.6319476498998349,0.4678103296484973,opponent_adjusted_form
player_form_logistic,Pooled player-form logistic,lineup_continuity,2022-23,2743,1335,5,7,11,1.0332630325939351,0.6203270770217207,0.5048592710731175,lineup_continuity
player_form_logistic,Pooled player-form logistic,lineup_continuity,2023-24,4078,1233,5,7,11,1.0382757849893942,0.6246652609050086,0.4992314194088525,lineup_continuity
player_form_logistic,Pooled player-form logistic,lineup_continuity,2024-25,5311,1327,5,7,11,1.0544828391601326,0.634762175209003,0.4783697843289175,lineup_continuity
player_form_logistic,Pooled player-form logistic,position_and_distribution,2022-23,2743,1335,5,20,24,1.0063811008222283,0.597581310971129,0.5323512558498682,position_and_distribution
player_form_logistic,Pooled player-form logistic,position_and_distribution,2023-24,4078,1233,5,20,24,1.001226087196529,0.5962247536506051,0.5196703787050182,position_and_distribution
