model,model_label,feature_set,validation_season,train_matches,validation_matches,validation_leagues,base_feature_count,model_column_count,log_loss,brier_score,accuracy
player_form_lightgbm,Pooled player-form LightGBM,without_position_and_distribution,2023-24,4078,1233,5,18,22,0.9253035350621278,0.544594626100075,0.5693788602487332
player_form_lightgbm,Pooled player-form LightGBM,without_position_and_distribution,2024-25,5311,1327,5,18,22,0.9821360924615361,0.5843778741444503,0.5291212539117309
player_form_lightgbm,Pooled player-form LightGBM,without_recency,2022-23,2743,1335,5,17,21,0.9285358880471086,0.5459253675623043,0.5714148390528412
player_form_lightgbm,Pooled player-form LightGBM,without_recency,2023-24,4078,1233,5,17,21,0.9305069865108084,0.548017220569709,0.5666812778345687
player_form_lightgbm,Pooled player-form LightGBM,without_recency,2024-25,5311,1327,5,17,21,0.98174498414117,0.5840670999768772,0.5306404274997247
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,selected_full,2022-23,2743,1335,5,10,24,0.9241300856058446,0.5433325002790633,0.5746296413843253
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,selected_full,2023-24,4078,1233,5,10,24,0.9184932427223303,0.5405755760983835,0.5732469961688603
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,selected_full,2024-25,5311,1327,5,10,24,0.9680291711909582,0.5745460080818336,0.5361158866221477
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_legacy_player_form,2022-23,2743,1335,5,9,22,0.9265014318107114,0.5452617761841368,0.5630490188550298
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_legacy_player_form,2023-24,4078,1233,5,9,22,0.9228705458636581,0.5437397178890302,0.5736224039677736
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_legacy_player_form,2024-25,5311,1327,5,9,22,0.968697946005617,0.5749857389597282,0.5365741549046075
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_team_strength,2022-23,2743,1335,5,4,12,0.9821949577341051,0.5836570894712421,0.5408393202877699
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_team_strength,2023-24,4078,1233,5,4,12,0.9815044127237338,0.5824918053716115,0.5328442403854863
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_team_strength,2024-25,5311,1327,5,4,12,1.0037074657524712,0.5987148787823594,0.5062786143348952
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_opponent_adjusted_form,2022-23,2743,1335,5,8,20,0.9255794493490879,0.5441681370467045,0.5682988763507546
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_opponent_adjusted_form,2023-24,4078,1233,5,8,20,0.9217352289364671,0.5424459202727707,0.5668039472672415
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_opponent_adjusted_form,2024-25,5311,1327,5,8,20,0.96739275415917,0.5743910640637895,0.5407140899926464
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_position_and_distribution,2022-23,2743,1335,5,9,22,0.9274424916127313,0.5454180259286014,0.5693644652628664
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_position_and_distribution,2023-24,4078,1233,5,9,22,0.9182453077732557,0.5406384952730809,0.5731301152204549
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_position_and_distribution,2024-25,5311,1327,5,9,22,0.9704858835071619,0.5760173384688041,0.5384711159227917
