model,model_label,feature_set,base_feature_count,model_column_count,mean_log_loss,worst_fold_log_loss,fold_log_loss_std,mean_brier_score,selected_groups,group_count
market_plus_player_form,Pooled market + player-form logistic,legacy_player_form + position_and_distribution,27,31,0.9328340570754984,0.9467956748493972,0.012206559707855398,0.5489963214914555,legacy_player_form|position_and_distribution,2
market_plus_player_form,Pooled market + player-form logistic,legacy_player_form + recency,24,28,0.9269863683646515,0.944304079043803,0.012438049808895268,0.5455145288254604,legacy_player_form|recency,2
market_plus_player_form,Pooled market + player-form logistic,team_strength + opponent_adjusted_form,32,36,0.9275338404427531,0.949064001374708,0.015392968878380067,0.5457965293125651,team_strength|opponent_adjusted_form,2
market_plus_player_form,Pooled market + player-form logistic,team_strength + lineup_continuity,15,19,0.9269423912015997,0.946692149020875,0.014665732206231243,0.5453975539061736,team_strength|lineup_continuity,2
market_plus_player_form,Pooled market + player-form logistic,team_strength + position_and_distribution,28,32,0.9324380219100001,0.9459114019934132,0.011316114552231594,0.5487521732238811,team_strength|position_and_distribution,2
market_plus_player_form,Pooled market + player-form logistic,team_strength + recency,25,29,0.9274473623717785,0.9468502771580267,0.01393201066100177,0.5458315874970415,team_strength|recency,2
market_plus_player_form,Pooled market + player-form logistic,opponent_adjusted_form + lineup_continuity,31,35,0.9259241687524042,0.947992028251498,0.015975945694347054,0.5449698426838889,opponent_adjusted_form|lineup_continuity,2
market_plus_player_form,Pooled market + player-form logistic,opponent_adjusted_form + position_and_distribution,44,48,0.9338550138966734,0.9503090455549248,0.012893303670457846,0.5499282238683635,opponent_adjusted_form|position_and_distribution,2
market_plus_player_form,Pooled market + player-form logistic,opponent_adjusted_form + recency,41,45,0.9274473010832578,0.9463895873768564,0.013626400826733436,0.545994993297453,opponent_adjusted_form|recency,2
market_plus_player_form,Pooled market + player-form logistic,lineup_continuity + position_and_distribution,27,31,0.9328855947489653,0.9457035990571352,0.012087208419935895,0.5490910407530922,lineup_continuity|position_and_distribution,2
market_plus_player_form,Pooled market + player-form logistic,lineup_continuity + recency,24,28,0.9260937502184201,0.9460396242611141,0.014563216287131307,0.5449341109015098,lineup_continuity|recency,2
market_plus_player_form,Pooled market + player-form logistic,position_and_distribution + recency,37,41,0.9330136334289973,0.9474337921080535,0.012457254289511787,0.549218158767884,position_and_distribution|recency,2
market_plus_player_form,Pooled market + player-form logistic,legacy_player_form + team_strength + opponent_adjusted_form,39,43,0.931030893204037,0.9500284740864917,0.01358930107069233,0.547695927376193,legacy_player_form|team_strength|opponent_adjusted_form,3
market_plus_player_form,Pooled market + player-form logistic,legacy_player_form + team_strength + lineup_continuity,22,26,0.9294758515817234,0.9489655895065171,0.014164570552196718,0.5469207448324731,legacy_player_form|team_strength|lineup_continuity,3
market_plus_player_form,Pooled market + player-form logistic,legacy_player_form + team_strength + position_and_distribution,35,39,0.9354893198234882,0.9505281855910737,0.012188148215624604,0.5505160776289236,legacy_player_form|team_strength|position_and_distribution,3
market_plus_player_form,Pooled market + player-form logistic,legacy_player_form + team_strength + recency,32,36,0.9297684569368015,0.947895049573509,0.012972351977620098,0.5471375468976127,legacy_player_form|team_strength|recency,3
market_plus_player_form,Pooled market + player-form logistic,legacy_player_form + opponent_adjusted_form + lineup_continuity,38,42,0.9301896899072486,0.9494127804996488,0.013898487528541921,0.5473949171243945,legacy_player_form|opponent_adjusted_form|lineup_continuity,3
market_plus_player_form,Pooled market + player-form logistic,legacy_player_form + opponent_adjusted_form + position_and_distribution,51,55,0.9371051317020567,0.952008054696095,0.011886506046671982,0.5518313703109643,legacy_player_form|opponent_adjusted_form|position_and_distribution,3
market_plus_player_form,Pooled market + player-form logistic,legacy_player_form + opponent_adjusted_form + recency,48,52,0.9294465561545499,0.946716480474762,0.012382205368823666,0.5470782635066498,legacy_player_form|opponent_adjusted_form|recency,3
market_plus_player_form,Pooled market + player-form logistic,legacy_player_form + lineup_continuity + position_and_distribution,34,38,0.9357318459095285,0.9500952615644896,0.013096646601854204,0.5507693891718799,legacy_player_form|lineup_continuity|position_and_distribution,3
