model,model_label,feature_set,base_feature_count,model_column_count,mean_log_loss,worst_fold_log_loss,fold_log_loss_std,mean_brier_score,seed_feature_set,features,selection_source
player_form_logistic,Pooled player-form logistic,floating_s1_t3_add_adjusted_defensive_actions_lineup_mean_5,9,13,0.949566353743026,0.9809288910356644,0.022438748535214877,0.5585295999961797,team_strength,"['elo_rating', 'opponent_elo_rating', 'elo_difference', 'elo_expected_result', 'attack_goal_rate_ewm', 'defence_goal_rate_ewm', 'expected_goals_strength', 'key_passes_per90_sum_5', 'adjusted_defensive_actions_lineup_mean_5']",floating_refinement
market_plus_player_form,Pooled market + player-form logistic,floating_s1_t3_remove_mean_pairwise_prior_starts,8,12,0.9224825436288321,0.9409130784010944,0.013537620427412755,0.5429454886776455,lineup_continuity,"['retained_starters', 'new_starters', 'missing_regular_starters', 'mean_pairwise_prior_minutes', 'new_player_pairs', 'replacement_quality', 'expected_goals_strength', 'adjusted_defensive_actions_lineup_mean_5']",floating_refinement
player_form_lightgbm,Pooled player-form LightGBM,floating_s1_t3_add_rating_lineup_mean_3,18,22,0.9449686402071291,0.9821360924615361,0.02658544763447766,0.5582841425248435,legacy_player_form + team_strength,"['key_passes_per90_sum_5', 'shots_per90_sum_5', 'defensive_actions_per90_sum_5', 'recent_minutes_sum_5', 'rating_mean_5', 'starters_without_history', 'starters_without_full_window', 'elo_rating', 'opponent_elo_rating', 'elo_difference', 'elo_expected_result', 'prior_team_matches', 'attack_goal_rate_ewm', 'defence_goal_rate_ewm', 'expected_goals_strength', 'key_passes_per90_lineup_mean_ewm', 'adjusted_defensive_actions_lineup_mean_1', 'rating_lineup_mean_3']",floating_refinement
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,floating_s1_t3_remove_defence_goal_rate_ewm,9,22,0.939919303276425,0.970534307521308,0.02193952923293367,0.5547868965864209,team_strength,"['elo_rating', 'opponent_elo_rating', 'elo_difference', 'elo_expected_result', 'prior_team_matches', 'attack_goal_rate_ewm', 'expected_goals_strength', 'key_passes_per90_sum_5', 'adjusted_key_passes_lineup_mean_1']",floating_refinement
