league,log_loss_delta,brier_delta
belgium,-0.0008391778853039222,-0.0018694454424442162
netherlands,-0.0022223000826044953,-0.0027715784447474583
portugal,-0.008304993294671239,-0.005988328145874542
scotland,-0.0012546153832352486,-0.0016937190311021525
turkey,-0.01026114625556418,-0.007064765024765343
