model,feature_set,feature_signature,base_feature_count,equal_league_log_loss,equal_league_baseline_log_loss,equal_league_log_loss_delta,equal_league_brier_delta,leagues_improved,worst_league_log_loss_delta,league_delta_std,fold_league_delta_std,removed_feature,delta_change_from_selected
dixon_coles_player_form,without_key_passes_per90_sum_5,missing_regular_starters|recent_minutes_sum_5|starters_without_history,3,0.9601542431288944,0.9620814706274567,-0.0019272274985623339,-0.0015300618185686067,5,-0.00011941280030192125,0.0014418965976977904,0.002693046899577857,key_passes_per90_sum_5,0.0026492190817134723
dixon_coles_player_form,without_recent_minutes_sum_5,key_passes_per90_sum_5|missing_regular_starters|starters_without_history,3,0.957972614799702,0.9620814706274567,-0.004108855827754753,-0.0034735944918047766,5,-0.0007077287109307218,0.003397492581079136,0.008472377966435721,recent_minutes_sum_5,0.0004675907525210528
dixon_coles_player_form,without_starters_without_history,key_passes_per90_sum_5|missing_regular_starters|recent_minutes_sum_5,3,0.9570683203516683,0.9620814706274567,-0.005013150275788525,-0.0041673056850175085,5,-0.0016262310520286372,0.003839111222696347,0.008641308569166135,starters_without_history,-0.0004367036955127187
dixon_coles_player_form,without_missing_regular_starters,key_passes_per90_sum_5|recent_minutes_sum_5|starters_without_history,3,0.9587574680683668,0.9620814706274567,-0.003324002559089867,-0.002935053066395055,4,0.0002939340937859747,0.0036918317008554926,0.008259769962955472,missing_regular_starters,0.0012524440211859394
