model,model_label,feature_set,base_feature_count,model_column_count,mean_log_loss,worst_fold_log_loss,fold_log_loss_std,mean_brier_score,seed_feature_set,features,selection_source,best_observed_log_loss,selection_tolerance,selected_groups,group_count
player_form_logistic,Pooled player-form logistic,final_player_form_logistic,9,13,0.949566353743026,0.9809288910356644,0.022438748535214877,0.5585295999961797,team_strength,"['elo_rating', 'opponent_elo_rating', 'elo_difference', 'elo_expected_result', 'attack_goal_rate_ewm', 'defence_goal_rate_ewm', 'expected_goals_strength', 'key_passes_per90_sum_5', 'adjusted_defensive_actions_lineup_mean_5']",floating_refinement,0.949566353743026,0.005,,
market_plus_player_form,Pooled market + player-form logistic,final_market_plus_player_form,7,11,0.9241552382808311,0.943279486677411,0.014156429479695545,0.5436855371248643,lineup_continuity,"['retained_starters', 'new_starters', 'missing_regular_starters', 'mean_pairwise_prior_starts', 'mean_pairwise_prior_minutes', 'new_player_pairs', 'replacement_quality']",group_search,0.9224825436288321,0.005,lineup_continuity,1.0
player_form_lightgbm,Pooled player-form LightGBM,final_player_form_lightgbm,15,19,0.948893265335951,0.9828790718087536,0.02429751237280589,0.5603497024316775,legacy_player_form + team_strength,"['key_passes_per90_sum_5', 'shots_per90_sum_5', 'defensive_actions_per90_sum_5', 'recent_minutes_sum_5', 'rating_mean_5', 'starters_without_history', 'starters_without_full_window', 'elo_rating', 'opponent_elo_rating', 'elo_difference', 'elo_expected_result', 'prior_team_matches', 'attack_goal_rate_ewm', 'defence_goal_rate_ewm', 'expected_goals_strength']",group_search,0.9449686402071291,0.005,legacy_player_form|team_strength,2.0
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,final_expanded_player_form_lightgbm,9,22,0.939919303276425,0.970534307521308,0.02193952923293367,0.5547868965864209,team_strength,"['elo_rating', 'opponent_elo_rating', 'elo_difference', 'elo_expected_result', 'prior_team_matches', 'attack_goal_rate_ewm', 'expected_goals_strength', 'key_passes_per90_sum_5', 'adjusted_key_passes_lineup_mean_1']",floating_refinement,0.939919303276425,0.005,,
