seed,step,action,feature,feature_count,equal_league_log_loss_delta,leagues_improved,worst_league_log_loss_delta,accepted
lineup_continuity,1,add,adjusted_key_passes_lineup_mean_trend_1_5,8,-0.00028698918348806223,3,0.008218894953310185,False
lineup_continuity,1,add,recent_minutes_sum_5,8,-0.000188333218127279,2,0.0035432203136231966,False
lineup_continuity,1,add,adjusted_defensive_actions_lineup_mean_trend_1_5,8,-0.00018137707799184,2,0.002539388931152242,False
lineup_continuity,1,add,defensive_actions_per90_lineup_mean_trend_1_5,8,-0.00017219063505682363,2,0.0026003611724469966,False
lineup_continuity,1,add,fwd_count,8,-0.00011348021352903803,3,0.004984481250381867,False
lineup_continuity,1,add,rating_lineup_mean_3,8,-5.870690127385281e-05,2,0.0025569973877308527,False
lineup_continuity,1,add,key_passes_per90_lineup_mean_trend_1_5,8,-6.539947768002818e-07,2,0.008385583723546919,False
lineup_continuity,1,add,mid_count,8,3.311916816512994e-05,2,0.0032761585406217986,False
lineup_continuity,1,add,adjusted_defensive_actions_lineup_mean_ewm,8,7.381884053720977e-05,2,0.0036444221507367924,False
lineup_continuity,1,add,starters_without_history,8,9.041066493049587e-05,3,0.0037218623618644475,False
lineup_continuity,1,add,adjusted_rating_lineup_mean_5,8,0.00011558148979973204,3,0.005321793513183293,False
lineup_continuity,1,add,gk_rating_mean_5,8,0.00015698225602736037,3,0.002368377734430993,False
lineup_continuity,1,add,defensive_actions_per90_lineup_mean_ewm,8,0.00015867583209754342,2,0.004140135944978529,False
lineup_continuity,1,add,rating_lineup_top3_mean_5,8,0.0001934425934581263,2,0.004651665921529324,False
lineup_continuity,1,add,adjusted_defensive_actions_lineup_mean_3,8,0.00034002749011856624,2,0.004085349088418511,False
lineup_continuity,1,add,defensive_actions_per90_lineup_mean_3,8,0.0004106005102396004,2,0.003625372824254791,False
lineup_continuity,1,add,def_rating_mean_5,8,0.00043198911530804016,1,0.0022032367179134482,False
lineup_continuity,1,add,adjusted_key_passes_lineup_std_across_starters_5,8,0.0004951853917811056,1,0.00465545333990991,False
lineup_continuity,1,add,adjusted_rating_lineup_mean_3,8,0.0005444811969816943,2,0.00422259801253988,False
lineup_continuity,1,add,adjusted_defensive_actions_lineup_mean_5,8,0.0006054883766445363,2,0.006832207853347372,False
lineup_continuity,1,add,adjusted_defensive_actions_lineup_mean_std_5,8,0.0006271301280136754,2,0.0051423837509770864,False
lineup_continuity,1,add,def_count,8,0.0007055066657053021,1,0.005545202272155159,False
lineup_continuity,1,add,defensive_actions_per90_sum_5,8,0.0008238300057152425,2,0.00597126608943177,False
lineup_continuity,1,add,adjusted_defensive_actions_lineup_std_across_starters_5,8,0.0020344940931987577,2,0.007164811207104993,False
lineup_continuity,1,add,defence_goal_rate_ewm,8,0.002287583835979978,2,0.008513180796414943,False
lineup_continuity,1,add,attack_goal_rate_ewm,8,0.0025334421983851164,1,0.008172566738208653,False
lineup_continuity,1,add,opponent_elo_rating,8,0.002814495997719013,2,0.012372845747324779,False
lineup_continuity,1,add,elo_difference,8,0.002814569390725108,2,0.012373222858998334,False
lineup_continuity,1,add,elo_rating,8,0.00281459727031248,2,0.012373399855608591,False
lineup_continuity,1,add,elo_expected_result,8,0.003724208817077934,1,0.014398229755472114,False
lineup_continuity,1,add,expected_goals_strength,8,0.00455345346983409,1,0.0125156960203745,False
lineup_continuity,1,add,prior_team_matches,8,0.034455761565681996,1,0.08417406187348053,False
lineup_continuity,2,remove,retained_starters,7,-0.004603025087980006,3,0.002491434800591108,True
lineup_continuity,2,remove,new_starters,7,-0.004429829775271621,3,0.0029159053763423426,False
