model,season,metric,uncalibrated_score,calibrated_score,calibration_improvement
recalibrated_market,2023-24,log_loss,0.9106584247227563,0.9117270276473913,-0.00106860292463507
recalibrated_market,2023-24,brier_score,0.5352626999267441,0.5357047920868043,-0.00044209216006019464
recalibrated_market,2023-24,rps,0.17977490618000358,0.17987806395758155,-0.00010315777757798242
recalibrated_market,2024-25,log_loss,0.9403261907821465,0.941773335316013,-0.0014471445338665263
recalibrated_market,2024-25,brier_score,0.5545626459510112,0.5550350745962763,-0.00047242864526517983
recalibrated_market,2024-25,rps,0.18746185778662267,0.18763720753167473,-0.0001753497450520742
market_plus_player_form,2023-24,log_loss,0.9081065950319148,0.9096299846366644,-0.001523389604749592
market_plus_player_form,2023-24,brier_score,0.5339783318254867,0.5347622493246386,-0.0007839174991519119
market_plus_player_form,2023-24,rps,0.17894429924023114,0.1791563547412665,-0.00021205550103534478
market_plus_player_form,2024-25,log_loss,0.9421971170063308,0.944152381168703,-0.0019552641623723824
market_plus_player_form,2024-25,brier_score,0.5559640061711333,0.5566052803140208,-0.0006412741428874968
market_plus_player_form,2024-25,rps,0.18785922724564036,0.18808829199865726,-0.0002290647530169317
