comparison,priority,training_scope,baseline_model,enhanced_model,weighting,metric,matches,leagues,observed_baseline,observed_enhanced,observed_absolute_improvement,observed_relative_improvement_pct,lower_95_absolute,upper_95_absolute,lower_95_relative_pct,upper_95_relative_pct,samples_favouring_enhanced_pct,interval_excludes_zero,repetitions,seed
Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,equal_league,log_loss,3895,5,0.9248014846299055,0.9238901386773825,0.0009113459525230587,0.09854503562867532,-0.0014586714085370895,0.0032474633648038012,-0.15737014561258578,0.35113617036250877,78.36999999999999,False,10000,42
Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,equal_league,brier_score,3895,5,0.544372839429793,0.5438678412582335,0.00050499817155949,0.09276696686198631,-0.0010193593913202614,0.001982455737242317,-0.18812588115307066,0.3646274194876311,74.82,False,10000,42
Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,equal_league,rps,3895,5,0.18486037416024642,0.18437919666807642,0.0004811774921700118,0.2602923933026894,-0.00018817594541202022,0.0011417842830708594,-0.10132563591072141,0.6163341584324704,92.49000000000001,False,10000,42
Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,log_loss,3895,5,0.9286855437116364,0.9282278358436723,0.0004577078679640857,0.0492855596884587,-0.001933049137190169,0.002811539165705209,-0.20796497904239516,0.3016890540143573,64.79,False,10000,42
Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,brier_score,3895,5,0.5473561583350557,0.5471256498270323,0.0002305085080233679,0.04211307473447036,-0.001338211246797678,0.0017524800744712324,-0.24606008367275534,0.3201414286137752,61.01,False,10000,42
Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,rps,3895,5,0.18538894379436477,0.18502246142841422,0.0003664823659505428,0.19768296773784347,-0.00031077831155893604,0.0010342950007126842,-0.1671309091182072,0.5546246392823878,86.37,False,10000,42
Pooled recalibration versus raw market,secondary,pooled,closing_market,recalibrated_market,equal_league,log_loss,3895,5,0.9266801335327506,0.9248014846299057,0.0018786489028448906,0.20272894981388911,-0.0012549352480967291,0.004907112478747545,-0.13430390767063405,0.5366360086890148,88.4,False,10000,43
Pooled recalibration versus raw market,secondary,pooled,closing_market,recalibrated_market,equal_league,brier_score,3895,5,0.5456567225209887,0.5443728394297931,0.0012838830911957007,0.23529135410703497,-0.00038337799256966064,0.0029526196496579933,-0.06953427056078285,0.5483101125791896,93.47,False,10000,43
Pooled recalibration versus raw market,secondary,pooled,closing_market,recalibrated_market,equal_league,rps,3895,5,0.18551933242469867,0.18486037416024645,0.0006589582644522354,0.3551965478960005,-7.990767782451676e-05,0.0013848462284416054,-0.04234083973987867,0.7564411095877331,95.87,False,10000,43
Pooled recalibration versus raw market,secondary,pooled,closing_market,recalibrated_market,match_weighted,log_loss,3895,5,0.9310071860541598,0.9286855437116365,0.0023216423425233474,0.24936889610520038,-0.0006967521716716667,0.005235398308275562,-0.07380920422917837,0.5698260267524102,93.64,False,10000,43
