training_scope,league,model,matches,log_loss,brier_score,accuracy,closing_market_log_loss,log_loss_vs_closing_market,log_loss_relative_to_closing_market,market_comparison
pooled,belgium,closing_market,925,0.9809741786493004,0.5831030635803529,0.5394594594594595,0.9809741786493004,0.0,0.0,baseline
pooled,belgium,market_plus_player_form,925,0.979025111870507,0.5825111551362799,0.5308108108108108,0.9809741786493004,-0.0019490667787932,-0.0019868685855492,outperforms_market
pooled,belgium,recalibrated_market,925,0.9802284539154432,0.582564688262003,0.5394594594594595,0.9809741786493004,-0.000745724733857,-0.0007601879336761,outperforms_market
pooled,netherlands,closing_market,897,0.9139588278211656,0.5402776483743292,0.5752508361204013,0.9139588278211656,0.0,0.0,baseline
pooled,netherlands,market_plus_player_form,897,0.9152602324130978,0.5420766012305757,0.5741360089186176,0.9139588278211656,0.0013014045919321,0.0014239203696239,within_1_percent
pooled,netherlands,recalibrated_market,897,0.9112444485249738,0.5399248576792544,0.5741360089186176,0.9139588278211656,-0.0027143792961918,-0.0029699141947814,outperforms_market
pooled,portugal,closing_market,523,0.8911205759157534,0.520198882117512,0.6022944550669216,0.8911205759157534,0.0,0.0,baseline
pooled,portugal,market_plus_player_form,523,0.8844823587865654,0.5160376542789099,0.5869980879541109,0.8911205759157534,-0.0066382171291879,-0.00744929172168,outperforms_market
pooled,portugal,recalibrated_market,523,0.8907764413513443,0.5196259503206038,0.5889101338432122,0.8911205759157534,-0.0003441345644091,-0.0003861818183869,outperforms_market
pooled,scotland,closing_market,665,0.9177610263626907,0.5380174641775378,0.5684210526315789,0.9177610263626907,0.0,0.0,baseline
pooled,scotland,market_plus_player_form,665,0.92217920654674,0.5392908475033262,0.5789473684210527,0.9177610263626907,0.004418180184049,0.00481408564663,within_1_percent
pooled,scotland,recalibrated_market,665,0.921360802273815,0.5389757707652919,0.5714285714285714,0.9177610263626907,0.0035997759111241,0.0039223455864005,within_1_percent
pooled,turkey,closing_market,885,0.929586058914842,0.5466865543552116,0.5875706214689266,0.929586058914842,0.0,0.0,baseline
pooled,turkey,market_plus_player_form,885,0.9196878510283696,0.5400319142084249,0.5830508474576271,0.929586058914842,-0.0098982078864724,-0.0106479736776895,outperforms_market
pooled,turkey,recalibrated_market,885,0.9203972770839514,0.5407729301218117,0.5864406779661017,0.929586058914842,-0.0091887818308907,-0.0098848102795532,outperforms_market
pooled,belgium,deliberate_hindsight_model,925,0.950136817566154,0.5633792490511514,0.5448648648648649,0.9809741786493003,-0.030837361083146275,-0.03143544626791923,outperforms_market
pooled,belgium,shuffled_player_features,925,0.9795347472673868,0.5825524209910127,0.5318918918918919,0.9809741786493003,-0.0014394313819134918,-0.0014673488999429522,outperforms_market
pooled,belgium,without_attacking_output,925,0.9779146217981809,0.5815971574348682,0.5308108108108108,0.9809741786493003,-0.0030595568511193605,-0.003118896417163654,outperforms_market
pooled,belgium,without_defensive_output,925,0.9797750549939014,0.582860843433133,0.534054054054054,0.9809741786493003,-0.0011991236553988704,-0.001222380447413957,outperforms_market
pooled,belgium,without_player_ratings,925,0.9784516071022828,0.5822244729463807,0.5318918918918919,0.9809741786493003,-0.002522571547017405,-0.0025714963777035645,outperforms_market
pooled,belgium,without_team_strength_context,925,0.9811841914196369,0.5835973049174221,0.532972972972973,0.9809741786493003,0.00021001277033660948,0.00021408593101377582,within_1_percent
pooled,netherlands,deliberate_hindsight_model,897,0.8835553585329698,0.5200314507004679,0.6064659977703456,0.9139588278211657,-0.030403469288195817,-0.03326568808430489,outperforms_market
pooled,netherlands,shuffled_player_features,897,0.9130677855529032,0.5411890918440478,0.5741360089186176,0.9139588278211657,-0.0008910422682624208,-0.0009749260482407322,outperforms_market
pooled,netherlands,without_attacking_output,897,0.9133192734974542,0.5412183207786767,0.5719063545150501,0.9139588278211657,-0.0006395543237114332,-0.0006997627291768714,outperforms_market
pooled,netherlands,without_defensive_output,897,0.9151462569346769,0.5420351750419518,0.5741360089186176,0.9139588278211657,0.001187429113511218,0.0012992151039691716,within_1_percent
pooled,netherlands,without_player_ratings,897,0.9152620462652705,0.5420802170917273,0.5752508361204013,0.9139588278211657,0.0013032184441048589,0.0014259049799996675,within_1_percent
pooled,netherlands,without_team_strength_context,897,0.9135531000363334,0.5408212010257875,0.5707915273132664,0.9139588278211657,-0.0004057277848322771,-0.00044392348154184675,outperforms_market
pooled,portugal,deliberate_hindsight_model,523,0.833032743036996,0.4845256496314039,0.6347992351816444,0.8911205759157534,-0.058087832878757406,-0.06518515501571027,outperforms_market
pooled,portugal,shuffled_player_features,523,0.8912060597419051,0.5197809288866064,0.5908221797323135,0.8911205759157534,8.548382615169992e-05,9.59284618289204e-05,within_1_percent
pooled,portugal,without_attacking_output,523,0.8874311876767845,0.5179820362235031,0.6022944550669216,0.8911205759157534,-0.003689388238968916,-0.004140167266564958,outperforms_market
pooled,portugal,without_defensive_output,523,0.8869545921770812,0.5173509563285422,0.5927342256214149,0.8911205759157534,-0.004165983738672274,-0.004674994441006069,outperforms_market
pooled,portugal,without_player_ratings,523,0.884042732478634,0.5158070906013746,0.5908221797323135,0.8911205759157534,-0.00707784343711948,-0.007942632712577629,outperforms_market
pooled,portugal,without_team_strength_context,523,0.8856963402864387,0.5166409792104798,0.5965583173996176,0.8911205759157534,-0.005424235629314711,-0.006086982812332142,outperforms_market
pooled,scotland,deliberate_hindsight_model,665,0.9048241941242614,0.5308623373419591,0.5789473684210527,0.9177610263626909,-0.012936832238429452,-0.014096079335272332,outperforms_market
pooled,scotland,shuffled_player_features,665,0.9242574003087755,0.5402537845268502,0.5744360902255639,0.9177610263626909,0.006496373946084599,0.007078502746876604,within_1_percent
pooled,scotland,without_attacking_output,665,0.9221197939381138,0.5395466371176048,0.5834586466165413,0.9177610263626909,0.004358767575422973,0.004749349177201198,within_1_percent
pooled,scotland,without_defensive_output,665,0.9222442558516142,0.5391883392465114,0.5744360902255639,0.9177610263626909,0.004483229488923324,0.0048849639068804735,within_1_percent
pooled,scotland,without_player_ratings,665,0.9221099214469235,0.5392389373484101,0.5804511278195489,0.9177610263626909,0.00434889508423264,0.004738592029199981,within_1_percent
pooled,scotland,without_team_strength_context,665,0.9212055547362993,0.5386761902191384,0.5699248120300752,0.9177610263626909,0.0034445283736084242,0.003753186586338193,within_1_percent
pooled,turkey,deliberate_hindsight_model,885,0.8924259333658789,0.5243422298110689,0.5966101694915255,0.9295860589148421,-0.037160125548963197,-0.03997491699944628,outperforms_market
pooled,turkey,shuffled_player_features,885,0.9169324484757105,0.5384563695444282,0.584180790960452,0.9295860589148421,-0.012653610439131602,-0.013612091444123925,outperforms_market
pooled,turkey,without_attacking_output,885,0.9199540504174624,0.5404464895161123,0.5830508474576271,0.9295860589148421,-0.009632008497379774,-0.010361610315696598,outperforms_market
pooled,turkey,without_defensive_output,885,0.9193432280936872,0.5398552047267049,0.5785310734463277,0.9295860589148421,-0.010242830821154958,-0.011018700983007413,outperforms_market
pooled,turkey,without_player_ratings,885,0.9195843860938017,0.5399884883032751,0.5830508474576271,0.9295860589148421,-0.010001672821040475,-0.010759275835866115,outperforms_market
pooled,turkey,without_team_strength_context,885,0.9207300232718288,0.5408634236325817,0.5819209039548022,0.9295860589148421,-0.008856035643013294,-0.009526859356466081,outperforms_market
