model,model_label,feature_set,base_feature_count,model_column_count,mean_log_loss,worst_fold_log_loss,fold_log_loss_std,mean_brier_score,removed_feature,selected_feature_set,log_loss_difference_from_selected
player_form_logistic,Pooled player-form logistic,without_feature_elo_rating,7,11,0.9473873876971108,0.9801621185239734,0.02343097832685644,0.557813327226035,elo_rating,final_player_form_logistic,1.2248538854287006e-05
player_form_logistic,Pooled player-form logistic,without_feature_opponent_elo_rating,7,11,0.9473873876971108,0.9801621185239734,0.02343097832685644,0.557813327226035,opponent_elo_rating,final_player_form_logistic,1.2248538854287006e-05
player_form_logistic,Pooled player-form logistic,without_feature_elo_difference,7,11,0.9473873876971108,0.9801621185239734,0.02343097832685644,0.557813327226035,elo_difference,final_player_form_logistic,1.2248538854287006e-05
player_form_logistic,Pooled player-form logistic,without_feature_defence_goal_rate_ewm,7,11,0.9471878945957192,0.9800049877918975,0.02346631603350008,0.5576768656343246,defence_goal_rate_ewm,final_player_form_logistic,-0.00018724456253738087
player_form_logistic,Pooled player-form logistic,without_feature_expected_goals_strength,7,11,0.9474624968303884,0.9813796493653651,0.024244399291470493,0.5578621677978365,expected_goals_strength,final_player_form_logistic,8.73576721318603e-05
player_form_logistic,Pooled player-form logistic,without_feature_key_passes_per90_sum_5,7,11,0.9532922948558282,0.9807243880579264,0.019654432211623465,0.5613279845606879,key_passes_per90_sum_5,final_player_form_logistic,0.005917155697571674
player_form_logistic,Pooled player-form logistic,without_feature_adjusted_defensive_actions_lineup_mean_5,7,11,0.9482602533488363,0.9824195150910111,0.024422179529711454,0.5580988439947109,adjusted_defensive_actions_lineup_mean_5,final_player_form_logistic,0.0008851141905797943
player_form_logistic,Pooled player-form logistic,without_feature_adjusted_key_passes_lineup_std_across_starters_5,7,11,0.9480646170620763,0.9802499909661881,0.02302270534729951,0.5580827217042944,adjusted_key_passes_lineup_std_across_starters_5,final_player_form_logistic,0.0006894779038197907
market_plus_player_form,Pooled market + player-form logistic,without_feature_key_passes_per90_sum_5,4,8,0.9218432725318171,0.9402230291129043,0.01331218533367734,0.5423937744677619,key_passes_per90_sum_5,final_market_plus_player_form,0.00018962518553045093
market_plus_player_form,Pooled market + player-form logistic,without_feature_shots_per90_sum_5,4,8,0.9211997930750113,0.9419365200956269,0.015030631097530845,0.542066138091093,shots_per90_sum_5,final_market_plus_player_form,-0.0004538542712753113
market_plus_player_form,Pooled market + player-form logistic,without_feature_defensive_actions_per90_sum_5,4,8,0.9222020967512053,0.9438969632799992,0.01568697486184815,0.5425489571504449,defensive_actions_per90_sum_5,final_market_plus_player_form,0.0005484494049187161
market_plus_player_form,Pooled market + player-form logistic,without_feature_rating_mean_5,4,8,0.9213950199353134,0.9421971170063307,0.015051882567392962,0.5421826121632706,rating_mean_5,final_market_plus_player_form,-0.0002586274109732667
market_plus_player_form,Pooled market + player-form logistic,without_feature_expected_goals_strength,4,8,0.9221686077032321,0.9419002315673801,0.014273109068742443,0.5424844464829384,expected_goals_strength,final_market_plus_player_form,0.0005149603569454264
player_form_lightgbm,Pooled player-form LightGBM,without_feature_key_passes_per90_sum_5,18,22,0.9452703886075932,0.9833276492641305,0.0274249263618131,0.5583916509207614,key_passes_per90_sum_5,final_player_form_lightgbm,0.0010686125923194956
player_form_lightgbm,Pooled player-form LightGBM,without_feature_shots_per90_sum_5,18,22,0.9450392003444906,0.9818512065657485,0.026314157830641543,0.5584370720211199,shots_per90_sum_5,final_player_form_lightgbm,0.0008374243292169625
player_form_lightgbm,Pooled player-form LightGBM,without_feature_defensive_actions_per90_sum_5,18,22,0.9444939957814045,0.9813597618680767,0.026365335085552055,0.5581202676322486,defensive_actions_per90_sum_5,final_player_form_lightgbm,0.0002922197661308079
player_form_lightgbm,Pooled player-form LightGBM,without_feature_recent_minutes_sum_5,18,22,0.9439927828532055,0.9812994035128048,0.02667911971940897,0.5577283077843083,recent_minutes_sum_5,final_player_form_lightgbm,-0.00020899316206812735
player_form_lightgbm,Pooled player-form LightGBM,without_feature_rating_mean_5,18,22,0.9438348024890704,0.9811062656322568,0.02665883513997528,0.5575472715037735,rating_mean_5,final_player_form_lightgbm,-0.0003669735262032958
player_form_lightgbm,Pooled player-form LightGBM,without_feature_starters_without_history,18,22,0.94429263714776,0.9816377628427737,0.026702690075302408,0.5579417604715912,starters_without_history,final_player_form_lightgbm,9.086113248635286e-05
player_form_lightgbm,Pooled player-form LightGBM,without_feature_starters_without_full_window,18,22,0.9447916968952674,0.9820634925388407,0.02664449631906722,0.5580925492761373,starters_without_full_window,final_player_form_lightgbm,0.0005899208799937661
player_form_lightgbm,Pooled player-form LightGBM,without_feature_elo_rating,18,22,0.9442039452181987,0.9813774349862241,0.026579970476545207,0.5578877705039569,elo_rating,final_player_form_lightgbm,2.1692029250619527e-06
player_form_lightgbm,Pooled player-form LightGBM,without_feature_opponent_elo_rating,18,22,0.9442186540498632,0.9805417518327756,0.025970632720480214,0.5578861998437801,opponent_elo_rating,final_player_form_lightgbm,1.6878034589495883e-05
player_form_lightgbm,Pooled player-form LightGBM,without_feature_elo_difference,18,22,0.9442017760152737,0.9813710679587991,0.026576969034220455,0.5578867418017568,elo_difference,final_player_form_lightgbm,0.0
player_form_lightgbm,Pooled player-form LightGBM,without_feature_elo_expected_result,18,22,0.9441632052735114,0.9808170519340053,0.026218931737701234,0.55787363747674,elo_expected_result,final_player_form_lightgbm,-3.857074176227826e-05
player_form_lightgbm,Pooled player-form LightGBM,without_feature_prior_team_matches,18,22,0.9448547165292025,0.9813819005391176,0.026135932571035313,0.5584414544587227,prior_team_matches,final_player_form_lightgbm,0.0006529405139288347
player_form_lightgbm,Pooled player-form LightGBM,without_feature_attack_goal_rate_ewm,18,22,0.9455836714230886,0.983530418999645,0.02714506192072152,0.5587538279732487,attack_goal_rate_ewm,final_player_form_lightgbm,0.0013818954078149703
player_form_lightgbm,Pooled player-form LightGBM,without_feature_defence_goal_rate_ewm,18,22,0.9440417669330625,0.9821588626183484,0.027256434105832623,0.5576783948269517,defence_goal_rate_ewm,final_player_form_lightgbm,-0.0001600090822111433
player_form_lightgbm,Pooled player-form LightGBM,without_feature_expected_goals_strength,18,22,0.944132361529131,0.981644069010593,0.026858882776751213,0.5579879347638724,expected_goals_strength,final_player_form_lightgbm,-6.941448614261603e-05
player_form_lightgbm,Pooled player-form LightGBM,without_feature_key_passes_per90_lineup_mean_ewm,18,22,0.9460813215226981,0.9799270528159244,0.024196597035893778,0.5589615905681885,key_passes_per90_lineup_mean_ewm,final_player_form_lightgbm,0.0018795455074244183
player_form_lightgbm,Pooled player-form LightGBM,without_feature_adjusted_defensive_actions_lineup_mean_1,18,22,0.9457910557642046,0.9826413150281514,0.026346055764982012,0.5585074166366513,adjusted_defensive_actions_lineup_mean_1,final_player_form_lightgbm,0.0015892797489309718
player_form_lightgbm,Pooled player-form LightGBM,without_feature_rating_lineup_mean_3,18,22,0.9452228191386607,0.9838365107725341,0.0276071988304327,0.5583248966425787,rating_lineup_mean_3,final_player_form_lightgbm,0.001021043123387022
player_form_lightgbm,Pooled player-form LightGBM,without_feature_adjusted_rating_lineup_std_across_starters_5,18,22,0.9449686402071291,0.9821360924615361,0.02658544763447766,0.5582841425248435,adjusted_rating_lineup_std_across_starters_5,final_player_form_lightgbm,0.0007668641918554542
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_elo_rating,9,22,0.9373018081465565,0.9680291711909582,0.022142748805952427,0.553093998954159,elo_rating,final_expanded_player_form_lightgbm,0.0
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_opponent_elo_rating,9,22,0.9373018081465565,0.9680291711909582,0.022142748805952427,0.553093998954159,opponent_elo_rating,final_expanded_player_form_lightgbm,0.0
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_elo_difference,9,22,0.9369309730770558,0.9680733948335508,0.022461441613858248,0.5528683188187884,elo_difference,final_expanded_player_form_lightgbm,-0.0003708350695007523
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_elo_expected_result,9,22,0.9372712316046603,0.9682880684798472,0.022326851970209137,0.5530804776557944,elo_expected_result,final_expanded_player_form_lightgbm,-3.057654189619896e-05
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_prior_team_matches,9,22,0.9392316552782121,0.9721231990738364,0.023701457569316794,0.5544077744201023,prior_team_matches,final_expanded_player_form_lightgbm,0.0019298471316555599
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_attack_goal_rate_ewm,9,22,0.9404173229771728,0.9739039966372853,0.02409082702326818,0.554726358763302,attack_goal_rate_ewm,final_expanded_player_form_lightgbm,0.0031155148306163394
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_key_passes_per90_sum_5,9,22,0.9397281049721806,0.968697946005617,0.020800319833899416,0.5549067057670234,key_passes_per90_sum_5,final_expanded_player_form_lightgbm,0.002426296825624119
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_adjusted_key_passes_lineup_mean_1,9,22,0.9384925174564389,0.9680742049514525,0.02134973571610388,0.5538043670585693,adjusted_key_passes_lineup_mean_1,final_expanded_player_form_lightgbm,0.0011907093098824095
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_gk_saves_per90_5,9,22,0.9391956246986969,0.9704858835071619,0.022770349944523694,0.5543299967739396,gk_saves_per90_5,final_expanded_player_form_lightgbm,0.0018938165521403816
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_adjusted_key_passes_lineup_mean_ewm,9,22,0.9382501991657147,0.9683804667480519,0.021665295905662428,0.5537408834212996,adjusted_key_passes_lineup_mean_ewm,final_expanded_player_form_lightgbm,0.0009483910191582234
