model,model_label,feature_set,base_feature_count,model_column_count,mean_log_loss,worst_fold_log_loss,fold_log_loss_std,mean_brier_score,removed_group,selected_feature_set,log_loss_difference_from_selected
player_form_logistic,Pooled player-form logistic,selected_full,8,12,0.9473751391582566,0.9801405749106753,0.023424101210909244,0.5578044537127544,none,final_player_form_logistic,0.0
player_form_logistic,Pooled player-form logistic,without_legacy_player_form,7,11,0.9532922948558282,0.9807243880579264,0.019654432211623465,0.5613279845606879,legacy_player_form,final_player_form_logistic,0.005917155697571674
player_form_logistic,Pooled player-form logistic,without_team_strength,3,7,0.9954694798003929,1.0167634618139405,0.015384269099763934,0.5933253357532645,team_strength,final_player_form_logistic,0.04809434064213636
player_form_logistic,Pooled player-form logistic,without_opponent_adjusted_form,7,11,0.9482602533488363,0.9824195150910111,0.024422179529711454,0.5580988439947109,opponent_adjusted_form,final_player_form_logistic,0.0008851141905797943
player_form_logistic,Pooled player-form logistic,without_position_and_distribution,7,11,0.9480646170620763,0.9802499909661881,0.02302270534729951,0.5580827217042944,position_and_distribution,final_player_form_logistic,0.0006894779038197907
market_plus_player_form,Pooled market + player-form logistic,selected_full,5,9,0.9216536473462866,0.9423062754242151,0.014949123116834198,0.5423043900112752,none,final_market_plus_player_form,0.0
market_plus_player_form,Pooled market + player-form logistic,without_legacy_player_form,1,5,0.9217905012940872,0.9405456296344713,0.013563897166674698,0.5423246875311741,legacy_player_form,final_market_plus_player_form,0.0001368539478006081
market_plus_player_form,Pooled market + player-form logistic,without_team_strength,4,8,0.9221686077032321,0.9419002315673801,0.014273109068742443,0.5424844464829384,team_strength,final_market_plus_player_form,0.0005149603569454264
player_form_lightgbm,Pooled player-form LightGBM,selected_full,19,23,0.9442017760152737,0.9813710679587991,0.026576969034220455,0.5578867418017568,none,final_player_form_lightgbm,0.0
player_form_lightgbm,Pooled player-form LightGBM,without_legacy_player_form,12,16,0.9456461276064161,0.9828462742875883,0.0266236097102186,0.5584541604543335,legacy_player_form,final_player_form_lightgbm,0.0014443515911424232
player_form_lightgbm,Pooled player-form LightGBM,without_team_strength,11,15,0.9917671075551111,1.015018837895451,0.016700939516427517,0.5909424238020926,team_strength,final_player_form_lightgbm,0.04756533153983744
player_form_lightgbm,Pooled player-form LightGBM,without_opponent_adjusted_form,18,22,0.9457910557642046,0.9826413150281514,0.026346055764982012,0.5585074166366513,opponent_adjusted_form,final_player_form_lightgbm,0.0015892797489309718
player_form_lightgbm,Pooled player-form LightGBM,without_position_and_distribution,18,22,0.9449686402071291,0.9821360924615361,0.02658544763447766,0.5582841425248435,position_and_distribution,final_player_form_lightgbm,0.0007668641918554542
player_form_lightgbm,Pooled player-form LightGBM,without_recency,17,21,0.9472878353956482,0.98174498414117,0.024631564071486235,0.5595821926386247,recency,final_player_form_lightgbm,0.0030860593803745395
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,selected_full,10,24,0.9373018081465565,0.9680291711909582,0.022142748805952427,0.553093998954159,none,final_expanded_player_form_lightgbm,0.0
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_legacy_player_form,9,22,0.9397281049721806,0.968697946005617,0.020800319833899416,0.5549067057670234,legacy_player_form,final_expanded_player_form_lightgbm,0.002426296825624119
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_team_strength,4,12,0.9893055241378494,1.0037074657524712,0.01030771241702345,0.5884182938668796,team_strength,final_expanded_player_form_lightgbm,0.05200371599129294
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_opponent_adjusted_form,8,20,0.9386080325876547,0.96739275415917,0.02067671825234955,0.5539196982455264,opponent_adjusted_form,final_expanded_player_form_lightgbm,0.0013062244410981805
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_position_and_distribution,9,22,0.9391956246986969,0.9704858835071619,0.022770349944523694,0.5543299967739396,position_and_distribution,final_expanded_player_form_lightgbm,0.0018938165521403816
