aggregation,training_scope,baseline_model,player_model,metric,baseline_score,player_score,improvement,relative_improvement_pct,league
equal_league,pooled,recalibrated_market,market_plus_player_form,log_loss,0.9566798166872044,0.9580446601867452,-0.0013648434995408,-0.1426646068762053,
equal_league,pooled,recalibrated_market,market_plus_player_form,brier_score,0.5697304341952878,0.5709279461514908,-0.0011975119562029,-0.2101892200816704,
equal_league,pooled,recalibrated_market,market_plus_player_form,rps,0.1883722473944578,0.1888509708611824,-0.0004787234667246,-0.2541369407363679,
match_weighted,pooled,recalibrated_market,market_plus_player_form,log_loss,0.9588789275409404,0.9603540219446284,-0.0014750944036877,-0.1538353134394831,
match_weighted,pooled,recalibrated_market,market_plus_player_form,brier_score,0.5711904476566382,0.5725217443618497,-0.0013312967052114,-0.2330740492375617,
match_weighted,pooled,recalibrated_market,market_plus_player_form,rps,0.1891839980705087,0.1897089358580896,-0.0005249377875808,-0.2774747298580975,
individual_league,pooled,recalibrated_market,market_plus_player_form,log_loss,0.9929890281187952,0.999231937212587,-0.0062429090937916,-0.6286986982745186,belgium
individual_league,pooled,recalibrated_market,market_plus_player_form,brier_score,0.5947334186631068,0.5988940439893673,-0.0041606253262604,-0.6995781968353326,belgium
individual_league,pooled,recalibrated_market,market_plus_player_form,rps,0.203507939657153,0.2055312251286555,-0.0020232854715024,-0.9942046855327072,belgium
individual_league,pooled,recalibrated_market,market_plus_player_form,log_loss,0.984346088270548,0.9832717321714396,0.0010743560991083,0.10914414268623,netherlands
individual_league,pooled,recalibrated_market,market_plus_player_form,brier_score,0.5860114767032816,0.5863687409383557,-0.000357264235074,-0.0609653990198199,netherlands
individual_league,pooled,recalibrated_market,market_plus_player_form,rps,0.1966794035484824,0.1965550869556016,0.0001243165928808,0.0632077333151949,netherlands
individual_league,pooled,recalibrated_market,market_plus_player_form,log_loss,0.9073546779670214,0.9032692687935224,0.0040854091734988,0.4502549303710488,portugal
individual_league,pooled,recalibrated_market,market_plus_player_form,brier_score,0.5385964614169765,0.5374435496624869,0.0011529117544896,0.2140585460692513,portugal
individual_league,pooled,recalibrated_market,market_plus_player_form,rps,0.1713321557615529,0.1710043894940623,0.0003277662674906,0.191304583797323,portugal
individual_league,pooled,recalibrated_market,market_plus_player_form,log_loss,0.959587942761797,0.9632596188923904,-0.0036716761305933,-0.3826304986727849,scotland
individual_league,pooled,recalibrated_market,market_plus_player_form,brier_score,0.5707511672289435,0.5716476520570544,-0.0008964848281108,-0.1570710459451911,scotland
individual_league,pooled,recalibrated_market,market_plus_player_form,rps,0.1890972653590917,0.1895999941017123,-0.0005027287426206,-0.2658572252041658,scotland
individual_league,pooled,recalibrated_market,market_plus_player_form,log_loss,0.9391213463178598,0.9411907438637864,-0.0020693975459267,-0.2203546489535658,turkey
individual_league,pooled,recalibrated_market,market_plus_player_form,brier_score,0.5585596469641309,0.5602857441101896,-0.0017260971460587,-0.3090264675295462,turkey
individual_league,pooled,recalibrated_market,market_plus_player_form,rps,0.1812444726460089,0.1815641586258803,-0.0003196859798714,-0.1763838506103319,turkey
