comparison,training_scope,baseline_model,enhanced_model,weighting,metric,matches,leagues,observed_baseline,observed_enhanced,observed_absolute_improvement,observed_relative_improvement_pct,lower_95_absolute,upper_95_absolute,lower_95_relative_pct,upper_95_relative_pct,samples_favouring_enhanced_pct,interval_excludes_zero,repetitions,seed
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,equal_league,log_loss,1163,5,0.9566798166872044,0.9580446601867453,-0.0013648434995409576,-0.1426646068762216,-0.004873667051371402,0.0022441943776771523,-0.5113281214520609,0.23429787018369286,22.86,False,10000,42
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,equal_league,brier_score,1163,5,0.5697304341952878,0.5709279461514907,-0.0011975119562028897,-0.21018922008165283,-0.0036020342318347073,0.0012306075672128367,-0.6333135729103667,0.21542452351765165,17.07,False,10000,42
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,equal_league,rps,1163,5,0.18837224739445785,0.18885097086118247,-0.00047872346672461736,-0.2541369407363677,-0.001555828716626766,0.0006122091295926171,-0.8279567023602784,0.3271439218350478,19.68,False,10000,42
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,log_loss,1163,5,0.9588789275409407,0.9603540219446284,-0.001475094403687617,-0.15383531343946813,-0.005005221044385039,0.002123762429461824,-0.5238870515455725,0.22125415189554296,21.04,False,10000,42
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,brier_score,1163,5,0.5711904476566382,0.5725217443618497,-0.001331296705211481,-0.23307404923756153,-0.0037672364109825485,0.001132635553163642,-0.6586794935182475,0.1987044927901379,14.63,False,10000,42
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,rps,1163,5,0.1891839980705087,0.18970893585808962,-0.0005249377875809089,-0.2774747298581062,-0.0016145357559680506,0.0005883031735574006,-0.8560887302932191,0.31378422517627635,17.82,False,10000,42
