model,model_label,feature_set,validation_season,train_matches,validation_matches,validation_leagues,base_feature_count,model_column_count,log_loss,brier_score,accuracy,selected_groups
player_form_logistic,Pooled player-form logistic,legacy_player_form + recency,2024-25,5311,1327,5,24,28,0.997349008630706,0.5917778286205201,0.5167652743509855,legacy_player_form|recency
player_form_logistic,Pooled player-form logistic,team_strength + opponent_adjusted_form,2022-23,2743,1335,5,32,36,0.9389617885499563,0.5513076387089515,0.5635310413171786,team_strength|opponent_adjusted_form
player_form_logistic,Pooled player-form logistic,team_strength + opponent_adjusted_form,2023-24,4078,1233,5,32,36,0.9409929608973459,0.5509272874363224,0.5666789952330907,team_strength|opponent_adjusted_form
player_form_logistic,Pooled player-form logistic,team_strength + opponent_adjusted_form,2024-25,5311,1327,5,32,36,0.9858676951968496,0.5821176998546104,0.5280646911416187,team_strength|opponent_adjusted_form
player_form_logistic,Pooled player-form logistic,team_strength + lineup_continuity,2022-23,2743,1335,5,15,19,0.9523863727745562,0.5574412860180117,0.55337732563147,team_strength|lineup_continuity
player_form_logistic,Pooled player-form logistic,team_strength + lineup_continuity,2023-24,4078,1233,5,15,19,0.9389722266085773,0.5506582523675068,0.5708638041348808,team_strength|lineup_continuity
player_form_logistic,Pooled player-form logistic,team_strength + lineup_continuity,2024-25,5311,1327,5,15,19,0.9869152356875961,0.5840943022993803,0.5274749277481706,team_strength|lineup_continuity
player_form_logistic,Pooled player-form logistic,team_strength + position_and_distribution,2022-23,2743,1335,5,28,32,0.953399410596961,0.5582811274915679,0.5630318499156746,team_strength|position_and_distribution
player_form_logistic,Pooled player-form logistic,team_strength + position_and_distribution,2023-24,4078,1233,5,28,32,0.945854758439685,0.5535893566131498,0.5666623963314341,team_strength|position_and_distribution
player_form_logistic,Pooled player-form logistic,team_strength + position_and_distribution,2024-25,5311,1327,5,28,32,0.9837692532446815,0.5819831427386899,0.5232397215641427,team_strength|position_and_distribution
player_form_logistic,Pooled player-form logistic,team_strength + recency,2022-23,2743,1335,5,25,29,0.939854905301933,0.551393454937361,0.565152243935558,team_strength|recency
player_form_logistic,Pooled player-form logistic,team_strength + recency,2023-24,4078,1233,5,25,29,0.9384621284751381,0.550555172618785,0.5703168987496013,team_strength|recency
