aggregation,training_scope,model,leagues,matches,log_loss,brier_score,rps
equal_league,league_specific,closing_market,5.0,1163,0.9603404152360212,0.5708599121603571,0.1890145467370847
equal_league,league_specific,dixon_coles,5.0,1163,0.9809685289264256,0.58385319346947,0.1947202306134881
equal_league,league_specific,dixon_coles_player_form,5.0,1163,0.9820388001843772,0.5847685413673334,0.1950578712449176
equal_league,league_specific,expanded_player_form_lightgbm,5.0,1163,1.0000013553992655,0.5946621498503539,0.1982917474423436
equal_league,league_specific,frequency_baseline,5.0,1163,1.0790212411447624,0.6530058347152792,0.2285173960635871
equal_league,league_specific,market_plus_player_form,5.0,1163,0.954164602630622,0.5681321353066353,0.1880045390293256
equal_league,league_specific,player_form,5.0,1163,0.9756972790629032,0.5821527623718394,0.1942536244292981
equal_league,league_specific,player_form_lightgbm,5.0,1163,0.9920116864201892,0.5891010593590704,0.1965091855100259
equal_league,league_specific,recalibrated_market,5.0,1163,0.9561482840733452,0.5688020659957368,0.1879680985319872
equal_league,pooled,closing_market,5.0,1163,0.9603404152360212,0.5708599121603571,0.1890145467370847
equal_league,pooled,expanded_player_form_lightgbm,5.0,1163,0.976320410029538,0.5824203618310368,0.1943236534811734
equal_league,pooled,frequency_baseline,5.0,1163,1.0790212411447624,0.6530058347152792,0.2285173960635871
equal_league,pooled,market_plus_player_form,5.0,1163,0.9580446601867452,0.5709279461514908,0.1888509708611824
equal_league,pooled,player_form,5.0,1163,0.9757759970085969,0.5817882845206637,0.1939235593774663
equal_league,pooled,player_form_lightgbm,5.0,1163,0.972017768166218,0.5795306765980384,0.1931340580896681
equal_league,pooled,recalibrated_market,5.0,1163,0.9566798166872044,0.5697304341952878,0.1883722473944578
match_weighted,league_specific,closing_market,,1163,0.9627139575025484,0.5724631871680774,0.1898778632234215
match_weighted,league_specific,dixon_coles,,1163,0.982913712721588,0.5853155714130898,0.1955642680150965
match_weighted,league_specific,dixon_coles_player_form,,1163,0.9839578535877308,0.5862494966391408,0.195903206177772
match_weighted,league_specific,expanded_player_form_lightgbm,,1163,1.0029180256257602,0.5966922377494108,0.1991769929072758
match_weighted,league_specific,frequency_baseline,,1163,1.0792640333520755,0.6532331161025194,0.2287813826122202
match_weighted,league_specific,market_plus_player_form,,1163,0.9567154315702008,0.5698418674386045,0.1888878841364982
match_weighted,league_specific,player_form,,1163,0.9780760916942104,0.583777795740793,0.1951493708752562
match_weighted,league_specific,player_form_lightgbm,,1163,0.993479648221913,0.5904814564885009,0.1973490465392252
match_weighted,league_specific,recalibrated_market,,1163,0.9583134480797878,0.5702393116702302,0.1887728121912303
match_weighted,pooled,closing_market,,1163,0.9627139575025484,0.5724631871680774,0.1898778632234215
match_weighted,pooled,expanded_player_form_lightgbm,,1163,0.9796530455385908,0.5846676724116667,0.1953614235407115
match_weighted,pooled,frequency_baseline,,1163,1.0792640333520758,0.6532331161025196,0.2287813826122202
match_weighted,pooled,market_plus_player_form,,1163,0.9603540219446284,0.5725217443618497,0.1897089358580896
match_weighted,pooled,player_form,,1163,0.9785703082126798,0.5837927808032631,0.1949697351304337
match_weighted,pooled,player_form_lightgbm,,1163,0.9747700982562624,0.5813993579457073,0.1941389846549073
match_weighted,pooled,recalibrated_market,,1163,0.9588789275409404,0.5711904476566382,0.1891839980705087
