model,model_label,feature_set,base_feature_count,model_column_count,mean_log_loss,worst_fold_log_loss,fold_log_loss_std,mean_brier_score,removed_feature,selected_feature_set,log_loss_difference_from_selected
player_form_lightgbm,Pooled player-form LightGBM,without_feature_attack_goal_rate_ewm,14,18,0.9488034544245909,0.9835601223678273,0.024846093178712485,0.5602357628722028,attack_goal_rate_ewm,final_player_form_lightgbm,-8.981091136006647e-05
player_form_lightgbm,Pooled player-form LightGBM,without_feature_defence_goal_rate_ewm,14,18,0.9480561865503285,0.9824983032725022,0.024679099851870216,0.5596913393857604,defence_goal_rate_ewm,final_player_form_lightgbm,-0.0008370787856224471
player_form_lightgbm,Pooled player-form LightGBM,without_feature_expected_goals_strength,14,18,0.9479944857580733,0.9826201201341739,0.024753640115107837,0.5599465505637213,expected_goals_strength,final_player_form_lightgbm,-0.0008987795778776508
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_elo_rating,8,20,0.939919303276425,0.970534307521308,0.02193952923293367,0.5547868965864209,elo_rating,final_expanded_player_form_lightgbm,0.0
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_opponent_elo_rating,8,20,0.939919303276425,0.970534307521308,0.02193952923293367,0.5547868965864209,opponent_elo_rating,final_expanded_player_form_lightgbm,0.0
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_elo_difference,8,20,0.9403596410328889,0.9705558929054117,0.021608648250096726,0.5550709516547538,elo_difference,final_expanded_player_form_lightgbm,0.0004403377564639044
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_elo_expected_result,8,20,0.940012155731994,0.9702830605400354,0.021684714299687588,0.5549139219016653,elo_expected_result,final_expanded_player_form_lightgbm,9.285245556900357e-05
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_prior_team_matches,8,20,0.9415508262597322,0.9748884267574859,0.02390156806963028,0.55608332082142,prior_team_matches,final_expanded_player_form_lightgbm,0.0016315229833071543
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_attack_goal_rate_ewm,8,20,0.9400859422195331,0.9709540509830212,0.022067030749202868,0.5549754545134231,attack_goal_rate_ewm,final_expanded_player_form_lightgbm,0.00016663894310808836
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_expected_goals_strength,8,20,0.9400967495671586,0.9705110172973986,0.02184793912038582,0.554964593826599,expected_goals_strength,final_expanded_player_form_lightgbm,0.00017744629073357387
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_key_passes_per90_sum_5,8,20,0.944343482406567,0.9704498841171836,0.01866327391538848,0.5579431245013293,key_passes_per90_sum_5,final_expanded_player_form_lightgbm,0.004424179130141925
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_feature_adjusted_key_passes_lineup_mean_1,8,20,0.941019204176315,0.9693698761670504,0.02031487459390178,0.555519016396669,adjusted_key_passes_lineup_mean_1,final_expanded_player_form_lightgbm,0.0010999008998899829
